year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2000,Sandstorm,73,Before the Storm; Special Edition,Darude,['eurodance'; 'finnish edm'],57,0.528,0.965,11.0,90.0,0.0,0.0465,0.141,0.985,0.0797,0.587,136.065,225493.0
2000,Say My Name,80,The Writing's On The Wall,Destiny's Child,['dance pop'; 'girl group'; 'pop'; 'r&b'; 'urban contemporary'],69,0.713,0.678,5.0,54.0,0.0,0.102,0.273,0.0,0.149,0.734,138.009,271333.0
2000,Separated,57,My Thoughts,Avant,['contemporary r&b'; 'r&b'; 'urban contemporary'],53,0.798,0.48,0.0,74.0,1.0,0.0276,0.247,0.0,0.237,0.643,108.241,255600.0
2000,Sexbomb,68,Reload,Tom Jones,['adult standards'; 'british invasion'],62,0.801,0.876,8.0,59.0,0.0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,211893.0
2000,Shackles (Praise You),66,Go Get It,Mary Mary,['gospel'; 'gospel r&b'],51,0.779,0.834,7.0,44.0,1.0,0.162,0.0343,0.0,0.0886,0.8,100.46,198347.0
2000,Shalala Lala,63,The Platinum Album,Vengaboys,['bubblegum dance'; 'eurodance'; 'europop'],61,0.751,0.901,2.0,76.0,1.0,0.0328,0.0504,0.00308,0.0395,0.973,124.017,214819.0
2000,Shape of My Heart,74,Black & Blue,Backstreet Boys,['boy band'; 'dance pop'; 'pop'],73,0.575,0.786,9.0,63.0,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,230093.0
2000,She Bangs - English Version,61,Sound Loaded,Ricky Martin,['latin pop'; 'mexican pop'; 'puerto rican pop'],71,0.63,0.95,1.0,60.0,1.0,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,280627.0
2000,Take A Look Around,77,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,['alternative metal'; 'funk metal'; 'nu metal'; 'post-grunge'; 'rap metal'; 'rock'],73,0.425,0.852,11.0,74.0,1.0,0.046,0.0175,0.306,0.0935,0.512,101.968,321040.0
2000,Take A Picture,66,Title Of Record (Expanded Edition),Filter,['alternative metal'; 'alternative rock'; 'grunge'; 'industrial metal'; 'nu metal'; 'post-grunge'],53,0.541,0.776,2.0,90.0,1.0,0.0298,0.00147,0.000221,0.178,0.282,98.986,363800.0
2000,Teenage Dirtbag,76,Wheatus,Wheatus,[],58,0.625,0.85,4.0,59.0,1.0,0.0495,0.346,0.000233,0.174,0.633,94.661,241667.0
2000,"Thank God I Found You (feat, Joe & 98Â°)",62,Rainbow,Mariah Carey,['dance pop'; 'pop'; 'urban contemporary'],76,0.348,0.532,10.0,76.0,1.0,0.0331,0.592,0.0,0.106,0.148,129.297,257360.0
2000,That's the Way It Is,66,The Very Best of Celine Dion,CÃ©line Dion,['canadian pop'],72,0.634,0.886,9.0,73.0,1.0,0.0434,0.154,0.0,0.118,0.577,93.04,241373.0
2000,The Great Beyond,53,"In Time: The Best Of R,E,M, 1988-2003","R,E,M,",['alternative rock'; 'athens indie'; 'permanent wave'; 'rock'],72,0.329,0.747,10.0,80.0,1.0,0.0297,0.125,2.08e-06,0.197,0.177,109.702,307000.0
2000,The Real Slim Shady,88,The Marshall Mathers LP,Eminem,['detroit hip hop'; 'hip hop'; 'rap'],88,0.949,0.661,5.0,62.0,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0
